10	0110000010
10	0110000010
10	0110000010
10	0110000010
32	101001110011111010101
33	1010011100111110010
34	10100111001111101011
35	101001110011111010100000000000000
36	11010110
37	1010011100011
38	1010011100110
39	101001110011110
40	101001110011111010100000000000001
41	100110
42	01100001
43	1010010
44	101001110001001
45	101001110001011
46	0110000001100
47	011010111101011
48	011010111101010
49	011010111101000
50	011010111101001
51	1010011100010101
52	1010011100111111
53	1010011100010100
54	1010011100010001
55	0110101111011
56	1010011110
57	10100111001111101000
58	10100111001111101010000000000001
59	10100111001111101001
60	0110101101
61	1010011100111110111
62	1010011000
63	1010011001
64	01101011100
65	01101011111
66	01100000010
67	01101011101
68	01101010010
69	1010011011
70	110101111
71	011000000111
72	01101010011
73	101001110000
74	1101011100
75	10100111111
76	01100000000
77	01101010000
78	01100000001
79	101001110010
80	1010011101
81	011010101
82	0110000001101
83	10100111001110
84	0110101100
85	101001110011111000
86	01101010001
87	1010011100111110011
88	10100111001111101100
89	1010011100111110101000000000001
90	10100111001111101101
91	101001110011111010100000000001
92	1010011100010000
93	10100111001111101010000000001
94	1000
95	1101010
96	101011
97	11000
98	000
99	101000
100	100111
101	0011
102	0100
103	10100111110
104	0110001
105	10010
106	110010
107	0101
108	0111
109	011001
110	0110000011
111	11011
112	0010
113	1011
114	110100
115	0110100
116	101010
117	1010011010
118	011011
119	011010111100
120	1010011100111110101000000001
121	101001110011111010100000001
122	10100111001111101010000001
123	1010011100111110101000001
124	101001110011111010100001
125	10100111001111101010001
126	1010011100111110101001
